"userid","div.contemporaneity","div.locality","div.genre"
19341372,1,1,1
19361448,0,1,0
19380895,1,1,1
19386186,1,0,1
19579764,1,0,1
19736802,1,1,1
19794221,1,1,1
19869587,1,1,0
19911778,1,0,1
19921095,1,1,1
20053399,0,0,0
20131065,1,1,1
20375709,1,1,1
20407148,1,0,1
20468106,1,0,1
20471903,1,0,1
20707779,1,0,1
20840622,1,1,1
20935112,1,1,0
20977821,1,1,1
21075698,1,0,1
21102749,1,0,0
21185923,1,1,1
21248954,1,1,0
21494862,1,0,0
21500775,1,0,1
21521666,1,0,1
21527082,1,0,0
21634010,0,0,0
21910487,1,0,1
22029337,1,0,0
22306096,1,0,0
22368061,1,0,1
22448231,1,0,1
22468397,1,1,0
22530427,1,0,1
22642943,1,1,1
22999682,1,0,0
23048723,0,0,0
23126175,1,0,0
23144098,1,0,1
23144215,1,0,1
23238082,1,0,1
23265125,1,0,0
23340294,1,0,0
23439531,1,1,1
23516230,1,0,1
23544192,1,0,1
23571541,0,0,0
23638150,1,1,1
23706780,1,0,0
23723313,1,1,1
23790594,0,0,1
23853724,1,0,1
23971399,1,0,1
23981055,1,1,1
24057306,1,1,1
24181301,0,0,0
24606423,1,1,1
24856261,1,0,1
24937311,1,1,1
25085963,1,1,0
25095074,1,0,1
25109025,0,1,0
25127732,0,0,1
25194836,1,0,1
25294472,1,0,1
25365494,1,0,1
25370966,1,0,1
25396880,1,1,0
25611958,1,0,1
25614632,1,1,1
25740009,1,0,1
25747861,1,1,1
25850855,1,1,0
25916236,0,1,1
26265368,1,0,0
26340216,1,0,1
26457274,1,0,0
26506597,1,1,0
26514448,1,0,0
26598360,1,0,1
26617000,1,1,1
26630233,1,1,1
26878692,1,0,0
27284279,1,0,1
27395672,1,0,0
27444420,1,0,1
27457147,1,1,1
27487079,1,1,1
27774412,1,0,1
27774791,1,0,1
27801648,1,0,0
27845116,0,0,1
28053650,1,1,1
28068339,1,0,1
28423415,1,0,1
28426635,1,0,0
28447182,1,0,1
28481565,1,0,1
28498368,1,0,0
28532628,1,0,1
28653390,1,1,1
28744068,1,1,1
28784526,0,0,0
29029044,1,0,1
29104683,0,0,0
29416682,1,0,1
29458478,1,0,0
29471745,1,0,1
29568894,1,0,0
29692019,1,1,1
29716896,1,0,0
29767777,1,1,1
29865264,1,1,1
29908182,1,0,0
29943286,1,0,1
29970410,1,1,1
30001579,0,1,0
30142869,1,0,1
30300851,1,1,1
30311628,1,0,1
30410303,1,1,0
30633218,0,1,1
30639526,1,1,1
30714659,1,1,1
30796555,1,1,1
30903371,1,0,0
30923623,0,1,0
30976870,1,0,0
31148550,1,0,1
31250408,1,0,1
31352772,1,1,1
31431839,1,0,1
31677980,1,1,1
31678226,1,1,1
31682076,1,0,1
31715645,1,0,1
31787079,1,0,1
32000065,1,1,1
32159497,1,0,1
32174726,1,0,1
32238713,0,0,0
32239198,1,1,1
32309103,1,0,1
32428815,1,1,1
32454899,1,0,1
32473987,0,1,1
32548794,1,0,1
32572050,1,1,0
32607864,1,1,1
32675686,1,0,1
32953555,1,0,0
32957555,1,0,1
32966527,1,1,1
32966925,1,0,1
32974554,1,0,0
33152977,1,0,1
33169789,1,0,1
33176007,1,0,1
33404554,1,0,0
33411141,1,1,1
33434441,1,1,1
33470762,1,0,0
33518498,1,1,1
33657112,1,1,0
33660696,1,0,0
33677353,1,1,1
33695151,1,1,1
33776114,1,0,1
33813069,0,1,0
33916040,1,0,1
33957191,0,1,1
33986489,1,0,1
34047593,1,1,1
34165041,1,1,1
34344173,1,0,1
34470266,1,0,1
34470310,0,0,1
34724888,1,1,1
34776460,1,1,0
34805456,1,0,0
34880581,1,0,1
34895452,1,0,1
34981976,0,1,0
34983965,1,1,1
35022444,0,0,1
35129446,1,1,1
35307682,1,0,0
35307863,1,0,0
35350639,1,1,1
35364845,1,0,1
35484854,1,1,0
35768634,1,0,1
35827387,1,1,0
35835857,1,0,0
35895750,1,1,1
35936408,1,1,1
35989386,1,0,0
36032207,1,1,1
36057148,1,0,0
36136523,1,0,1
36146731,1,0,0
36376430,1,0,1
36539902,1,0,0
36582930,1,0,0
36600688,1,0,0
36737979,1,0,0
36864128,1,0,1
36974500,1,1,1
37106065,1,1,1
37162514,1,0,1
37172442,1,0,0
37251946,0,0,0
37289916,1,1,1
37295715,1,0,1
37391811,0,1,0
37541225,1,0,0
37569364,1,0,1
37579630,1,0,1
37666683,1,0,1
37695344,1,0,0
37724774,1,1,1
38029535,1,0,1
38083405,1,0,1
38206845,1,0,1
38213001,1,1,0
38216185,1,1,0
38354363,1,0,1
38354399,1,1,1
38383236,1,1,0
38460457,1,1,0
38469360,1,0,1
38486635,1,0,1
38707330,1,0,0
38771883,1,0,1
38784295,1,0,1
38842603,1,0,1
39167800,1,1,1
39198907,1,0,0
39308751,0,0,0
39311634,1,0,0
39343626,1,0,0
39428062,1,0,1
39436163,1,0,0
39531594,0,0,1
39558097,1,0,0
39667144,0,0,0
39711117,0,0,0
39740418,1,1,1
39746087,1,0,0
39758587,1,1,1
39872655,1,1,1
39879121,0,1,0
39881353,1,0,0
39889080,0,1,1
39898200,1,0,1
39898792,1,1,0
39991179,1,0,1
40023428,0,0,0
40059217,1,0,1
40118146,1,0,1
40179626,0,1,0
40247811,1,0,0
40318068,0,0,1
40364447,1,1,1
40417061,1,0,1
40505305,1,0,1
40563365,1,1,0
40626636,1,0,1
40691758,0,0,0
40787146,1,1,1
40866793,1,1,0
40872450,1,0,0
40971723,1,1,1
40987283,1,1,1
40997171,1,1,1
41155383,1,1,1
41214881,0,0,1
41251962,1,0,1
41336915,1,1,0
41457771,1,1,1
41527489,1,0,0
41557691,1,1,1
41626391,1,1,1
41642901,1,0,1
41721131,1,1,1
41723933,0,0,0
41962984,1,0,1
41994873,1,1,1
42186852,1,1,1
42266936,1,1,0
42283280,0,1,0
42293943,1,1,1
42313934,1,0,1
42378133,1,0,1
42404689,1,0,1
42539820,1,1,1
42554670,1,0,1
42563001,1,0,1
42592678,1,0,1
42601076,1,1,1
42634890,0,1,1
42643725,1,1,1
42654003,0,0,0
42684158,0,1,1
42826822,1,1,1
42909884,1,0,0
42925594,0,1,0
42931945,1,0,1
42949765,1,0,0
42960583,1,1,0
42964489,1,0,0
43010303,1,0,1
43027789,1,0,1
45126083,1,0,0
45134764,1,0,1
45154775,1,0,1
45160406,1,0,0
45187588,1,0,0
45193240,1,0,1
45230919,1,0,1
45240683,1,0,1
45240945,1,0,1
45267186,1,1,1
45282249,0,1,1
45307368,1,0,1
45313592,0,1,1
45325773,0,1,0
45336987,1,0,1
45389356,1,0,1
45420560,1,0,1
45431516,1,1,1
45438088,1,0,1
45590928,1,1,1
45617258,0,0,0
45661656,1,1,1
45692413,1,0,0
45711459,1,1,1
45792777,1,1,0
45845722,1,0,0
45850294,0,0,0
45907126,0,0,0
45920397,1,0,1
45930102,1,0,1
45932649,1,1,1
45936206,1,0,0
45977229,1,1,1
46004639,1,0,0
46039913,0,0,0
46071410,1,1,1
46092690,1,1,1
46124635,1,0,1
46132114,1,0,0
46146246,1,0,0
46175284,1,0,1
46179134,1,0,1
46189312,0,1,0
46221314,1,0,0
46228902,1,0,0
46249190,1,0,0
46275362,1,0,1
46358052,1,0,0
46404290,1,0,0
46511268,1,0,0
46515631,1,0,0
46517056,1,0,1
46538201,1,0,1
46568235,1,0,1
46586657,1,1,1
46586965,1,0,1
46608499,0,1,1
46628158,1,0,1
46664723,1,1,1
46720654,0,1,1
46725347,0,0,0
46775452,0,0,1
46776624,1,0,1
46780449,1,1,1
46859277,1,0,0
46892924,0,1,0
46896383,1,1,1
46925367,1,0,1
46935506,1,0,0
46939025,1,0,0
46984554,1,0,1
47104736,1,1,1
47112697,1,0,1
47126893,0,0,0
47134415,1,1,0
47169578,1,0,0
47182129,1,0,0
47182677,0,0,1
47201424,1,0,1
47211501,1,0,1
47226139,1,0,1
47240394,1,0,1
47244000,1,1,1
47246703,1,0,1
47270460,1,0,0
47275981,1,1,1
47325322,1,0,0
47343082,1,0,1
47369384,1,1,1
47381759,0,1,1
47391657,1,1,1
47429995,1,1,1
47447669,1,0,1
47450727,1,1,1
47457073,0,1,1
47469087,1,1,1
47488149,1,1,1
47505538,0,0,0
47509546,1,1,1
47529521,1,0,0
47551713,1,0,1
47569063,0,0,0
47590878,1,0,1
47597011,1,1,0
47599847,1,1,0
47685622,1,1,1
47701532,1,0,1
47715263,1,1,1
47720373,1,0,0
47722627,1,1,0
47739904,1,1,1
47747708,1,0,1
47752591,1,1,1
47752851,1,0,0
47761242,0,1,0
47790810,1,0,0
47800935,1,0,1
47815490,1,0,0
47827409,1,1,1
47833376,1,1,1
47845561,1,0,0
47848657,1,0,1
47866088,1,0,1
47883591,1,1,1
47885195,1,0,0
47898599,1,0,0
47925288,1,0,1
47951619,1,0,0
47954024,1,1,1
47977374,1,1,0
47987331,1,0,1
48003037,1,0,0
48006186,1,1,1
48022938,0,0,0
48025999,1,0,1
48044111,1,0,1
48046529,1,0,1
48048376,1,1,0
48051054,1,0,0
48103373,1,0,0
48139500,1,0,0
48144426,1,0,1
48158530,0,1,1
48171841,1,0,0
48184433,0,0,1
48195641,0,1,1
48206781,1,0,1
48217336,1,0,1
48232727,1,1,1
48235017,1,1,1
48259257,1,0,0
48268942,1,1,1
48280119,1,0,1
48292272,1,1,1
48302421,1,1,1
48303691,1,1,1
48305689,1,0,0
48314069,1,1,1
48315641,1,0,0
48317680,1,1,1
48322451,0,1,1
48348176,1,1,0
48360718,1,0,0
48360877,1,0,0
48365873,1,0,0
48376933,1,1,1
48391623,1,1,1
48399297,1,1,1
48399790,1,0,1
48430277,1,1,0
48456562,1,1,1
48465963,1,0,1
48466394,1,1,1
48471256,1,0,0
48479069,1,0,1
48479495,1,0,1
48501340,1,0,0
48503209,1,1,0
48504620,1,0,0
48506529,1,1,1
48511047,1,0,0
48515616,1,1,1
48519560,1,0,0
48536910,0,0,1
48542096,0,0,0
48550354,1,0,1
48555415,1,1,1
48575899,1,0,1
48580921,1,0,1
48583225,0,1,0
48588582,1,1,1
48602793,1,1,1
48605966,1,1,1
48611228,0,0,0
48619458,1,1,1
48631154,0,1,0
48637564,1,1,1
48643799,1,0,1
48655928,1,1,0
48674642,0,1,1
48679648,1,0,1
48681038,1,0,0
48691500,0,1,1
48698871,1,1,1
48720167,1,0,0
48724284,0,0,1
48740084,0,0,1
48745035,1,0,1
48757354,1,0,1
48770619,1,1,1
48778880,0,0,0
48801223,1,1,1
48806678,1,1,1
48811466,1,1,1
48815239,1,0,1
48816258,1,0,1
48825670,1,0,0
48830425,1,1,1
48839386,1,1,0
48849847,1,1,1
48858149,1,1,1
48859378,1,1,0
48876417,1,1,1
48880616,1,0,1
48899517,0,0,0
48911286,1,1,1
48930038,0,0,0
48936688,1,1,0
48936950,1,0,0
48941778,1,0,0
48948033,1,0,1
48959267,1,0,1
48962064,1,0,0
48965389,1,0,1
48971728,1,0,0
48984627,1,0,1
48985036,1,0,0
48990987,1,0,1
49005825,1,0,1
49015748,1,1,1
49021263,0,0,0
49026294,0,0,1
49028028,1,0,1
49045577,0,1,0
49056877,0,1,0
49062334,1,1,1
49082241,1,0,0
49088314,1,0,1
49096018,1,1,1
49100518,1,1,0
49114779,0,1,0
49119378,1,0,1
49125599,1,1,1
49128828,0,0,0
49131545,0,0,0
49132496,1,0,0
49137202,1,0,1
49142812,0,1,0
49194701,0,0,0
49196388,0,0,1
49209272,1,1,1
49219210,1,0,1
49220238,1,0,0
49222775,1,0,1
49224314,1,0,0
49245554,1,1,1
49250830,1,1,1
49252562,1,0,1
49256829,1,1,1
49272877,1,0,1
49275055,1,0,1
49276956,1,0,1
49287980,1,0,0
49293829,1,0,1
49299758,1,1,1
49299805,0,0,0
49305532,1,0,0
49319269,1,1,1
49321664,1,0,1
49323003,1,0,0
49355756,1,0,1
49358414,1,1,1
49371377,1,0,0
49385959,1,0,0
49386163,1,0,0
49386693,1,0,0
49396730,1,0,1
49406542,1,0,0
49406989,1,1,1
49431141,1,0,0
49436498,1,1,1
49438045,0,0,0
49438464,0,1,1
49445245,1,0,1
49451985,1,0,1
49452108,0,0,0
49454695,1,0,1
49454701,1,0,1
49460338,1,1,0
49460966,0,0,1
49466707,1,1,1
49479166,1,0,0
49480089,0,0,0
49480186,1,0,0
49483194,1,0,1
49501702,0,0,0
49503120,1,0,0
49507469,1,0,0
49514463,1,1,1
49534557,1,1,0
49536460,1,1,1
49538802,1,1,1
49545122,1,1,1
49549521,1,0,1
49551986,0,0,0
49554167,1,0,1
49565047,1,0,1
49567126,0,0,1
49569889,1,0,0
49576634,1,0,0
49582318,1,0,1
49585585,1,0,1
49591778,1,0,1
49594373,1,0,0
49599543,0,1,0
49605086,0,0,0
49607960,1,0,0
49621783,1,0,0
49624402,0,0,0
49630398,1,0,1
49634047,1,1,1
49644744,1,1,1
49657846,1,0,0
49662873,1,0,0
49663305,0,1,0
49667262,1,0,1
49676337,1,0,1
49679310,0,1,0
49682446,1,1,0
49682938,1,0,0
49686424,1,0,0
49707709,1,0,0
49716313,1,0,1
49722728,1,0,0
49726016,1,0,0
49741406,1,1,1
49757295,1,0,0
49765902,1,1,1
49787338,1,0,1
49789258,1,1,0
49792808,1,0,1
49807596,1,1,1
49811005,0,0,1
49811063,1,0,0
49828903,1,0,1
49831943,1,0,1
49857152,1,0,0
49857491,1,1,1
49893598,0,1,0
49906128,1,0,0
49919177,1,0,0
49922350,1,0,0
49927450,1,1,0
49930008,1,1,1
49940652,1,0,0
49951201,1,1,0
49951507,1,0,0
49956039,0,0,0
49965924,0,0,0
49969026,0,0,1
49980381,1,0,0
50014133,1,1,0
50048180,1,1,0
50051925,0,0,0
50072481,1,0,0
