userid	contemporaneity	locality	genre
6997702	1	1	0
7014063	0	0	0
7105867	1	1	0
7163356	1	1	0
7210939	1	1	0
7213842	1	1	0
7277276	1	0	1
7299766	1	1	1
7310641	1	0	1
7320444	1	1	0
7379290	1	1	1
7416673	1	1	0
7423336	0	0	0
7439731	1	1	1
7540459	1	0	0
7618980	1	1	0
7720943	1	1	0
7748805	1	0	1
7752871	1	1	0
7763519	0	1	1
7778221	1	1	0
7781890	1	1	0
7829682	1	1	0
7892073	1	1	0
7937229	1	1	0
7964353	1	1	1
7984395	1	1	1
8013433	1	1	0
8035279	1	1	0
8270884	1	1	1
8282774	1	1	0
8316275	1	1	1
8328522	1	1	1
8474083	0	0	1
8606703	1	0	1
8681298	1	1	0
8686821	1	1	0
8718324	1	0	1
8756805	1	1	0
8776227	1	1	0
8983926	1	1	1
9003804	1	1	1
9027470	1	1	0
9035014	0	0	0
9076404	0	0	1
9145886	1	1	0
9194537	0	1	1
9277425	1	1	0
9321010	1	0	0
9321799	1	1	1
9341753	1	1	0
9353376	1	1	1
9454105	1	1	1
9457434	1	0	1
9653129	0	0	0
9653222	1	1	0
9695459	1	1	1
9726776	0	0	0
9868379	1	1	1
9882947	1	1	1
9889487	1	1	1
9911751	0	0	1
9952240	1	1	0
9979755	1	1	1
10084175	0	0	1
10173627	1	1	1
10228161	1	1	0
10326323	0	1	1
10326405	1	1	0
10374121	0	1	1
10402426	1	1	1
10411433	1	1	0
10413419	1	1	1
10424950	1	1	0
10428603	0	1	0
10462198	1	1	0
10637132	1	1	1
10645616	1	0	0
10807443	1	1	0
10923419	1	1	0
10931569	1	1	1
10964154	1	1	1
11020990	1	1	0
11025336	1	1	1
11111662	1	1	1
11183275	1	1	1
11241102	1	1	1
11282853	1	1	0
11298680	1	1	1
11321465	1	1	1
11539131	1	1	1
11541773	1	0	0
11600787	1	1	1
11658206	0	0	1
11669844	1	1	1
11867705	1	1	1
11918471	1	1	0
11924005	1	1	1
11934466	1	1	1
11998404	1	1	0
12074462	1	1	1
12093207	1	1	0
12111678	1	1	1
12121879	1	1	1
12156381	0	1	1
12192147	1	1	1
12252169	1	1	1
12320559	1	1	1
12345462	1	1	1
12411299	1	1	0
12519453	0	1	1
12540369	1	1	1
12695249	1	0	0
12696749	0	0	1
12727600	1	1	1
12874328	1	1	1
12880910	0	0	1
12959719	0	0	1
13071848	1	1	1
13501473	1	1	1
13608390	1	1	0
13718027	0	0	0
13725104	1	1	0
13759477	1	0	0
13821923	1	1	1
13828470	0	0	0
13834823	1	0	0
13835970	1	1	1
13877989	1	1	1
13916668	0	0	1
14063067	1	1	1
14170591	0	0	0
14204994	0	0	0
14323932	0	1	1
14419918	1	1	1
14462062	1	1	1
14520887	1	1	0
14525857	1	1	1
14709757	1	1	0
14770371	1	1	0
14932889	1	1	0
14946162	1	1	0
15020189	1	1	1
15080022	1	1	1
15393363	1	1	0
15677557	1	1	0
15699379	0	0	1
15857358	1	1	0
15922728	0	1	1
16195682	1	1	0
16223563	1	1	0
16225683	1	1	1
16264779	0	0	0
16355650	1	1	0
16370959	1	1	1
16442235	1	1	1
16447954	0	0	0
16486655	1	1	1
16508166	1	1	1
16711157	0	0	1
16804076	1	0	0
16909498	0	0	1
17064182	0	0	1
17094267	1	1	1
17149350	1	1	1
17365126	0	0	1
17588765	1	0	1
17599925	1	1	1
17618449	1	1	0
17716010	0	0	1
17823270	1	1	1
17858494	1	1	1
17984338	0	0	1
17991009	0	0	1
18130464	1	1	0
18154781	0	0	1
18205119	1	1	1
18214535	1	1	1
18329710	1	0	1
18399210	1	1	1
18566688	1	1	1
18767420	1	1	1
18796034	1	1	1
19114015	1	1	0
19192269	1	0	0
19239335	1	1	1
19341372	1	0	0
19361448	0	1	0
19380895	1	1	1
19386186	1	1	0
19579764	0	0	1
19736802	1	1	1
19794221	1	1	0
19869587	0	0	0
19911778	0	0	1
19921095	1	1	1
20053399	0	0	1
20131065	1	0	1
20375709	0	0	1
20407148	0	0	1
20468106	1	0	1
20471903	0	1	0
20707779	1	1	1
20840622	0	0	0
20935112	1	1	1
20977821	1	1	1
21075698	1	1	0
21102749	1	0	0
21185923	1	1	1
21248954	0	0	0
21494862	1	0	0
21500775	0	0	1
21521666	1	0	1
21527082	1	1	1
21634010	0	0	1
21910487	1	1	0
22029337	1	1	1
22306096	0	0	1
22368061	1	1	1
22448231	1	1	1
22468397	1	1	0
22530427	1	1	1
22642943	1	1	0
22999682	0	0	1
23048723	0	1	1
23126175	0	0	1
23144098	0	0	0
23144215	0	0	1
23238082	1	1	0
23265125	0	0	1
23340294	0	0	1
23439531	1	1	0
23516230	1	1	1
23544192	0	0	0
23571541	0	0	0
23638150	1	1	1
23706780	1	0	1
23723313	0	0	1
23790594	1	1	1
23853724	0	0	1
23971399	0	0	1
23981055	1	1	1
24057306	0	0	1
24181301	0	0	1
24606423	1	1	1
24856261	1	1	1
24937311	1	1	1
25085963	1	1	1
25095074	1	1	1
25109025	1	1	0
25127732	1	1	0
25194836	0	0	1
25294472	1	0	0
25365494	0	0	1
25370966	1	1	1
25396880	1	1	1
25611958	1	1	0
25614632	1	0	1
25740009	0	0	1
25747861	1	1	1
25850855	0	0	0
25916236	1	1	0
26265368	0	0	1
26340216	1	1	0
26457274	0	0	1
26506597	1	0	1
26514448	1	1	0
26598360	1	1	0
26617000	0	0	0
26630233	0	0	1
26878692	0	0	0
27284279	0	1	1
27395672	1	1	1
27444420	0	1	1
27457147	1	1	0
27487079	1	0	1
27774412	1	1	1
27774791	1	1	1
27801648	0	0	1
27845116	0	0	0
28053650	1	1	1
28068339	1	1	1
28423415	0	0	1
28426635	0	0	1
28447182	1	1	0
28481565	0	0	0
28498368	0	0	1
28532628	0	0	1
28653390	0	0	1
28744068	1	1	1
28784526	0	0	1
29029044	1	1	0
29104683	0	0	1
29416682	1	1	1
29458478	0	0	1
29471745	1	1	1
29568894	0	0	0
29692019	1	1	1
29716896	0	0	1
29767777	0	0	1
29865264	0	1	1
29908182	0	0	0
29943286	1	1	0
29970410	1	1	0
30001579	1	1	0
30142869	1	1	0
30300851	1	1	0
30311628	0	0	0
30410303	1	1	0
30633218	1	1	0
30639526	0	0	0
30714659	1	1	0
30796555	1	1	1
30903371	1	1	1
30923623	0	0	0
30976870	0	0	0
31148550	1	1	0
31250408	1	1	0
31352772	1	1	1
31431839	1	1	1
31677980	0	0	0
31678226	1	1	0
31682076	1	1	0
31715645	0	0	1
31787079	0	0	1
32000065	1	1	1
32159497	0	0	1
32174726	1	1	1
32238713	0	0	1
32239198	1	1	1
32309103	1	0	1
32428815	0	0	1
32454899	1	1	1
32473987	0	1	0
32548794	1	1	1
32572050	0	0	0
32607864	0	0	1
32675686	1	0	0
32953555	0	0	1
32957555	0	0	1
32966527	1	1	1
32966925	1	1	1
32974554	0	0	1
33152977	0	0	1
33169789	1	0	1
33176007	1	1	1
33404554	1	1	1
33411141	1	1	0
33434441	1	1	1
33470762	1	1	0
33518498	0	0	0
33657112	1	1	1
33660696	1	0	1
33677353	1	1	0
33695151	0	0	1
33776114	1	1	0
33813069	1	1	1
33916040	0	0	1
33957191	1	1	1
33986489	1	1	0
34047593	1	1	0
34165041	0	0	1
34344173	0	0	0
34470266	0	0	1
34470310	0	0	0
34724888	1	1	1
34776460	1	1	0
34805456	0	0	1
34880581	0	0	0
34895452	0	0	0
34981976	0	0	1
34983965	0	0	0
35022444	1	1	1
35129446	1	1	0
35307682	0	0	0
35307863	0	0	0
35350639	0	0	1
35364845	1	1	1
35484854	0	1	0
35768634	0	0	1
35827387	1	1	1
35835857	0	0	0
35895750	0	1	1
35936408	1	1	1
35989386	1	1	0
36032207	1	1	1
36057148	1	1	0
36136523	1	1	0
36146731	0	0	0
36376430	1	1	1
36539902	0	1	1
36582930	0	0	0
36600688	0	0	0
36737979	1	1	1
36864128	0	1	0
36974500	1	1	1
37106065	1	1	0
37162514	1	1	1
37172442	0	1	1
37251946	0	0	1
37289916	1	1	1
37295715	0	1	0
37391811	1	1	1
37541225	1	1	0
37569364	0	0	1
37579630	0	0	0
37666683	0	0	1
37695344	0	0	1
37724774	1	1	1
38029535	0	0	1
38083405	1	0	0
38206845	0	0	0
38213001	0	0	1
38216185	0	0	1
38354363	0	0	0
38354399	1	1	0
38383236	1	0	0
38460457	0	1	1
38469360	1	1	1
38486635	1	1	0
38707330	0	0	1
38771883	1	1	0
38784295	1	1	0
38842603	0	0	1
39167800	1	1	0
39198907	0	0	1
39308751	0	0	1
39311634	1	1	0
39343626	1	1	1
39428062	1	1	0
39436163	1	1	0
39531594	0	0	0
39558097	1	1	1
39667144	0	0	0
39711117	1	0	0
39740418	1	0	1
39746087	1	1	1
39758587	0	0	1
39872655	0	0	1
39879121	0	0	0
39881353	0	0	0
39889080	0	1	1
39898200	1	0	0
39898792	1	1	1
39991179	0	0	1
40023428	0	0	1
40059217	1	1	0
40118146	1	1	0
40179626	0	1	1
40247811	0	0	0
40318068	0	0	1
40364447	0	0	1
40417061	1	0	1
40505305	0	0	0
40563365	1	1	1
40626636	0	0	1
40691758	0	0	1
40787146	1	1	1
40866793	0	0	0
40872450	0	0	0
40971723	1	1	1
40987283	1	1	0
40997171	0	1	1
41155383	1	1	1
41214881	0	0	0
41251962	1	1	0
41336915	1	1	0
41457771	1	1	1
41527489	0	0	1
41557691	1	0	0
41626391	0	0	0
41642901	1	0	0
41721131	1	0	1
41723933	1	1	1
41962984	0	0	1
41994873	0	0	0
42186852	1	1	1
42266936	1	1	1
42283280	0	1	1
42293943	0	0	1
42313934	0	0	1
42378133	1	1	0
42404689	0	0	0
42539820	0	0	1
42554670	1	1	1
42563001	0	0	0
42592678	0	0	1
42601076	0	0	0
42634890	0	0	1
42643725	0	0	1
42654003	0	0	0
42684158	1	1	0
42826822	1	1	0
42909884	0	0	0
42925594	0	0	1
42931945	1	1	1
42949765	0	0	1
42960583	0	0	1
42964489	0	0	1
43010303	0	0	0
43027789	1	1	0
45126083	1	1	0
45134764	1	0	0
45154775	0	0	1
45160406	0	1	0
45187588	0	0	1
45193240	0	0	0
45230919	0	1	0
45240683	0	0	0
45240945	0	1	0
45267186	0	0	0
45282249	0	0	1
45307368	1	1	0
45313592	1	1	1
45325773	0	0	1
45336987	1	1	0
45389356	1	1	1
45420560	0	0	0
45431516	0	0	1
45438088	0	0	1
45590928	1	1	1
45617258	0	0	1
45661656	0	0	1
45692413	0	0	1
45711459	0	0	0
45792777	0	0	1
45845722	1	1	1
45850294	0	0	0
45907126	0	0	0
45920397	1	1	1
45930102	0	0	1
45932649	0	0	0
45936206	0	0	1
45977229	0	0	0
46004639	0	0	1
46039913	0	1	0
46071410	0	0	1
46092690	0	0	0
46124635	0	0	1
46132114	0	0	1
46146246	0	0	1
46175284	0	0	1
46179134	1	1	0
46189312	0	0	1
46221314	0	0	1
46228902	0	0	1
46249190	0	0	1
46275362	0	0	1
46358052	0	1	0
46404290	0	0	0
46511268	0	0	1
46515631	0	1	1
46517056	0	0	1
46538201	0	0	0
46568235	0	0	0
46586657	0	1	1
46586965	0	0	0
46608499	0	1	0
46628158	0	0	1
46664723	0	0	1
46720654	0	0	1
46725347	0	1	0
46775452	0	0	1
46776624	1	1	1
46780449	1	0	1
46859277	0	0	0
46892924	0	0	1
46896383	0	0	1
46925367	1	1	1
46935506	0	0	1
46939025	0	1	1
46984554	1	1	0
47104736	1	1	0
47112697	1	1	0
47126893	0	0	1
47134415	0	0	1
47169578	1	1	1
47182129	1	1	1
47182677	1	1	0
47201424	0	0	1
47211501	1	1	0
47226139	0	0	1
47240394	1	1	0
47244000	1	1	0
47246703	0	0	0
47270460	0	0	1
47275981	0	0	0
47325322	1	1	0
47343082	0	0	0
47369384	1	1	0
47381759	1	1	1
47391657	1	1	1
47429995	0	0	1
47447669	1	0	1
47450727	0	0	1
47457073	0	0	1
47469087	0	0	0
47488149	0	0	1
47505538	0	0	1
47509546	0	0	0
47529521	1	1	0
47551713	0	0	0
47569063	0	0	0
47590878	1	0	0
47597011	0	0	0
47599847	0	0	1
47685622	0	0	1
47701532	0	0	0
47715263	0	0	1
47720373	1	1	0
47722627	0	1	0
47739904	0	0	0
47747708	0	1	1
47752591	1	1	0
47752851	0	0	1
47761242	0	0	1
47790810	0	1	1
47800935	0	0	1
47815490	0	1	0
47827409	0	0	0
47833376	0	0	0
47845561	0	0	1
47848657	0	0	0
47866088	0	0	0
47883591	0	0	1
47885195	0	0	0
47898599	0	0	0
47925288	0	0	1
47951619	0	1	1
47954024	0	0	0
47977374	0	0	0
47987331	0	1	0
48003037	0	1	0
48006186	0	1	0
48022938	0	0	1
48025999	1	1	0
48044111	1	1	1
48046529	1	0	0
48048376	1	1	0
48051054	0	0	1
48103373	0	0	1
48139500	0	0	1
48144426	0	0	1
48158530	0	0	0
48171841	0	0	1
48184433	0	0	0
48195641	0	0	1
48206781	1	1	0
48217336	1	1	1
48232727	1	1	0
48235017	1	1	0
48259257	0	0	0
48268942	0	0	1
48280119	0	0	0
48292272	0	0	0
48302421	0	0	1
48303691	0	0	1
48305689	0	0	1
48314069	0	0	1
48315641	0	0	1
48317680	0	1	1
48322451	0	0	0
48348176	0	0	0
48360718	0	0	0
48360877	1	1	0
48365873	1	1	1
48376933	0	0	1
48391623	0	0	1
48399297	0	0	1
48399790	0	0	1
48430277	0	0	0
48456562	0	0	1
48465963	0	0	0
48466394	0	0	1
48471256	0	0	1
48479069	0	0	1
48479495	0	1	1
48501340	0	0	0
48503209	0	0	0
48504620	0	0	1
48506529	0	0	1
48511047	1	1	1
48515616	0	0	1
48519560	1	1	1
48536910	0	0	0
48542096	1	0	1
48550354	0	0	0
48555415	0	0	1
48575899	1	1	0
48580921	1	1	1
48583225	0	0	0
48588582	0	0	1
48602793	0	0	0
48605966	1	0	1
48611228	0	0	0
48619458	0	0	0
48631154	0	0	0
48637564	1	1	0
48643799	1	1	0
48655928	0	1	0
48674642	0	0	1
48679648	0	0	0
48681038	0	0	0
48691500	0	0	0
48698871	0	0	0
48720167	0	0	0
48724284	0	0	0
48740084	0	0	0
48745035	0	0	0
48757354	1	1	0
48770619	0	0	0
48778880	0	0	1
48801223	0	0	0
48806678	1	1	1
48811466	1	1	1
48815239	0	0	0
48816258	1	1	0
48825670	0	0	0
48830425	1	1	1
48839386	0	0	0
48849847	0	0	1
48858149	0	0	1
48859378	0	0	0
48876417	0	0	0
48880616	1	1	0
48899517	0	0	1
48911286	1	1	1
48930038	0	0	0
48936688	0	0	0
48936950	0	0	0
48941778	1	1	1
48948033	0	1	1
48959267	1	0	1
48962064	0	0	0
48965389	0	0	0
48971728	0	0	0
48984627	0	0	0
48985036	0	0	0
48990987	1	1	0
49005825	1	0	1
49015748	0	0	1
49021263	0	0	1
49026294	1	1	0
49028028	1	1	1
49045577	0	0	0
49056877	0	1	0
49062334	1	0	0
49082241	0	0	0
49088314	0	0	0
49096018	0	0	0
49100518	0	0	0
49114779	0	0	0
49119378	0	0	1
49125599	0	0	1
49128828	0	0	0
49131545	0	0	0
49132496	0	0	1
49137202	0	0	1
49142812	0	0	1
49194701	0	0	0
49196388	0	0	0
49209272	0	0	0
49219210	0	0	1
49220238	0	0	0
49222775	0	0	0
49224314	0	0	0
49245554	0	0	0
49250830	0	0	1
49252562	0	0	0
49256829	0	0	0
49272877	0	0	0
49275055	1	1	0
49276956	1	1	0
49287980	1	1	0
49293829	0	0	0
49299758	0	0	1
49299805	0	0	1
49305532	0	0	0
49319269	1	1	0
49321664	0	0	0
49323003	0	0	1
49355756	0	1	0
49358414	0	0	0
49371377	0	1	0
49385959	0	0	0
49386163	0	1	1
49386693	0	0	1
49396730	1	1	0
49406542	1	1	0
49406989	0	0	0
49431141	0	1	0
49436498	0	1	0
49438045	0	0	0
49438464	0	0	0
49445245	0	0	1
49451985	0	0	0
49452108	0	0	0
49454695	0	0	0
49454701	0	0	0
49460338	0	0	0
49460966	0	0	0
49466707	0	0	0
49479166	0	0	0
49480089	0	0	1
49480186	0	0	0
49483194	0	0	1
49501702	0	0	0
49503120	0	0	1
49507469	0	0	0
49514463	0	0	0
49534557	0	0	0
49536460	0	0	0
49538802	0	1	0
49545122	1	1	0
49549521	1	1	0
49551986	0	0	0
49554167	0	0	0
49565047	1	0	0
49567126	0	0	1
49569889	0	0	0
49576634	0	0	0
49582318	0	0	0
49585585	0	0	0
49591778	1	0	0
49594373	0	0	0
49599543	0	0	1
49605086	0	0	0
49607960	0	0	1
49621783	0	0	0
49624402	0	0	1
49630398	0	0	0
49634047	0	0	0
49644744	0	0	0
49657846	0	0	0
49662873	0	0	0
49663305	0	0	0
49667262	0	0	1
49676337	0	0	1
49679310	0	0	1
49682446	0	0	1
49682938	0	0	0
49686424	0	0	0
49707709	0	0	0
49716313	0	1	1
49722728	0	0	0
49726016	0	0	0
49741406	0	0	0
49757295	0	0	1
49765902	1	1	1
49787338	1	1	0
49789258	0	0	0
49792808	1	0	0
49807596	1	1	0
49811005	0	0	1
49811063	0	0	0
49828903	1	1	0
49831943	0	0	0
49857152	0	0	0
49857491	0	0	0
49893598	0	0	0
49906128	0	0	0
49919177	0	0	0
49922350	0	0	0
49927450	0	1	1
49930008	0	0	1
49940652	0	0	0
49951201	0	0	0
49951507	0	0	0
49956039	0	0	0
49965924	0	0	0
49969026	0	0	0
49980381	0	0	0
50014133	0	0	0
50048180	0	0	0
50051925	0	0	0
50072481	0	0	0
